Date,Open,High,Low,Close,Adj Close,Volume
2023-06-03,1907.420776,1908.822266,1885.485474,1892.412476,1892.412476,3472274607
2023-06-04,1892.398193,1912.205688,1885.651855,1890.513550,1890.513550,3747042696
2023-06-05,1890.417603,1890.640503,1780.211548,1811.828369,1811.828369,9246593033
2023-06-06,1810.581421,1896.222656,1801.405273,1884.494873,1884.494873,8704411776
2023-06-07,1884.372925,1893.809082,1822.303101,1832.395996,1832.395996,7919894455
2023-06-08,1832.513550,1861.136108,1830.165039,1846.301880,1846.301880,4536041931
2023-06-09,1846.077881,1854.824951,1828.544556,1840.225220,1840.225220,4610831509
2023-06-10,1840.391968,1844.785645,1721.443115,1752.384766,1752.384766,10788500406
2023-06-11,1752.527588,1776.847168,1741.110474,1753.415283,1753.415283,4559112981
2023-06-12,1753.075439,1757.659790,1722.906372,1742.528687,1742.528687,6031384958
2023-06-13,1742.390137,1761.955444,1727.749878,1739.037598,1739.037598,6214125203
2023-06-14,1739.250122,1749.163208,1637.187744,1650.519287,1650.519287,7462905534
2023-06-15,1650.498169,1676.406616,1624.138306,1665.519775,1665.519775,7328564880
2023-06-16,1665.410645,1727.289551,1653.170898,1716.668823,1716.668823,6281023479
2023-06-17,1716.671753,1766.763184,1714.150879,1727.204102,1727.204102,4875187477
2023-06-18,1727.193726,1746.509155,1718.111450,1720.577515,1720.577515,3820038842
2023-06-19,1720.505371,1745.134644,1705.813477,1737.659424,1737.659424,5210480121
2023-06-20,1736.879761,1793.313965,1715.342529,1792.119995,1792.119995,7171072578
2023-06-21,1791.994995,1898.668945,1788.489258,1891.007202,1891.007202,11731457711
2023-06-22,1889.794434,1932.065552,1867.876587,1872.942993,1872.942993,8477657143
2023-06-23,1872.540771,1932.531616,1865.192017,1892.862061,1892.862061,8290615074
2023-06-24,1893.771973,1905.227417,1867.811523,1876.059692,1876.059692,5026191704
2023-06-25,1875.849121,1929.079102,1870.850098,1900.506104,1900.506104,6937581709
2023-06-26,1900.050293,1905.360474,1840.215088,1859.432861,1859.432861,8619702292
2023-06-27,1859.346191,1911.311157,1856.838379,1889.703369,1889.703369,7686042202
2023-06-28,1889.906494,1890.208984,1822.102783,1827.971191,1827.971191,7135265016
2023-06-29,1828.059326,1876.530273,1828.059326,1852.227295,1852.227295,5677228612
2023-06-30,1852.008423,1945.274292,1831.281006,1933.188965,1933.188965,12895131248
2023-07-01,1933.323853,1942.701538,1910.848633,1924.565918,1924.565918,5136809625
2023-07-02,1924.448120,1958.160767,1895.906982,1937.438354,1937.438354,6343966490
2023-07-03,1937.883789,1974.775024,1934.688843,1955.389160,1955.389160,7858509087
2023-07-04,1955.524170,1966.365356,1932.611328,1936.633545,1936.633545,5683423776
2023-07-05,1936.796753,1942.432495,1897.124756,1910.588013,1910.588013,6034088075
2023-07-06,1910.417114,1956.012329,1847.850708,1848.636475,1848.636475,8905008384
2023-07-07,1847.512573,1876.963257,1832.025391,1870.602539,1870.602539,6468885150
2023-07-08,1871.002075,1872.501587,1844.641724,1865.539551,1865.539551,4299007854
2023-07-09,1865.594971,1878.668945,1857.748291,1863.009766,1863.009766,4392863807
2023-07-10,1863.240234,1905.460815,1848.777222,1880.556396,1880.556396,6336468234
2023-07-11,1880.654907,1889.381714,1863.218628,1878.336060,1878.336060,4905225892
2023-07-12,1878.322021,1901.148438,1865.710083,1872.113770,1872.113770,6379007000
2023-07-13,1872.040283,2011.885254,1864.496094,2006.511475,2006.511475,11114853969
2023-07-14,2005.686157,2026.204956,1901.361206,1939.347046,1939.347046,10627449471
2023-07-15,1939.129639,1946.019165,1928.187378,1931.466553,1931.466553,4380084234
2023-07-16,1931.645020,1942.030884,1917.294067,1923.681885,1923.681885,4329306566
2023-07-17,1923.694336,1936.177612,1875.120361,1911.646118,1911.646118,6678090758
2023-07-18,1911.697021,1916.468384,1878.718506,1897.599243,1897.599243,5814708445
2023-07-19,1897.797241,1919.264404,1883.067139,1889.007935,1889.007935,6018487800
2023-07-20,1889.073730,1919.264404,1879.734375,1890.969116,1890.969116,7366830684
2023-07-21,1891.581299,1905.386230,1885.296265,1892.080078,1892.080078,4668158260
2023-07-22,1891.955078,1897.088013,1855.092773,1864.912354,1864.912354,4101305643
2023-07-23,1866.094238,1904.483276,1859.568848,1889.191650,1889.191650,4480604100
2023-07-24,1888.809570,1889.761963,1836.852417,1850.002075,1850.002075,6344373569
2023-07-25,1850.027954,1867.323242,1845.981567,1857.741943,1857.741943,4163381707
2023-07-26,1857.696533,1886.974121,1849.436890,1872.159912,1872.159912,5781548155
2023-07-27,1872.086304,1885.591553,1855.321533,1860.357178,1860.357178,4291339248
2023-07-28,1860.702515,1881.457275,1857.048950,1874.744873,1874.744873,3800973336
2023-07-29,1874.560425,1885.529297,1870.333862,1881.068848,1881.068848,2497302218
2023-07-30,1880.871582,1884.144165,1851.728027,1861.643799,1861.643799,4003005547
2023-07-31,1861.755249,1875.629395,1851.915405,1856.162354,1856.162354,4391613314
2023-08-01,1856.190186,1873.029907,1817.920776,1871.792114,1871.792114,7634860636
2023-08-02,1873.468140,1877.511475,1822.348267,1839.089722,1839.089722,6448512422
2023-08-03,1838.796143,1855.223633,1827.151489,1836.088501,1836.088501,4718291456
